	segment	count
0	电影	10230
1	观众	5574
2	中国	5476
3	节目	4398
4	导演	4197
5	演员	3250
6	音乐	3170
7	影片	3030
8	故事	2643
9	票房	2623
10	网友	2540
11	现场	2499
12	内容	2342
13	直播	2324
14	角色	2270
15	粉丝	2238
16	北京	2219
17	作品	2186
18	文化	2072
19	明星	2070
20	制作	2044
21	拍摄	1945
22	生活	1838
23	网络	1831
24	平台	1814
25	市场	1810
26	2017	1757
27	饰演	1747
28	主演	1737
29	日电	1704
30	电视剧	1653
31	合作	1637
32	中新网	1587
33	表演	1584
34	优酷	1581
35	公司	1538
36	上映	1513
37	视频	1509
38	影视	1507
39	这部	1504
40	播出	1492
41	希望	1479
42	一部	1479
43	时间	1442
44	卫视	1377
45	春晚	1344
46	孩子	1336
47	喜欢	1298
48	行业	1296
49	更是	1295
50	剧中	1281
51	IP	1276
52	创作	1257
53	发展	1255
54	喜剧	1245
55	活动	1202
56	关注	1176
57	特别	1171
59	舞台	1168
58	剧情	1168
60	人物	1166
61	用户	1139
62	最佳	1136
63	世界	1105
64	带来	1097
65	方式	1092
66	国际	1072
67	歌手	1071
68	选择	1054
69	讲述	1051
70	题材	1034
71	工作	1034
72	团队	1022
73	全国	1018
74	打造	1016
75	媒体	1003
76	爱情	997
77	艺术	995
78	电影节	991
79	春节	988
80	表现	978
81	该剧	968
82	一种	964
83	期待	961
84	过程	958
85	最终	953
86	编剧	948
87	一场	940
88	国内	923
89	老师	922
90	综艺	918
91	专业	915
92	上线	896
93	游戏	891
94	成功	889
95	互动	887
96	真实	873
97	透露	871
98	娱乐	866
99	美国	857
100	剧本	837
101	发现	835
102	发布会	833
103	演出	828
104	动作	826
105	去年	823
106	年轻	820
107	参与	819
108	话题	815
109	形象	813
110	执导	810
111	歌曲	809
112	接受	808
113	出演	807
114	系列	806
115	嘉宾	799
116	影院	798
117	时代	796
118	经历	795
119	首次	794
120	面对	792
121	演技	792
122	模式	792
123	经典	790
124	包括	787
125	情感	782
126	青春	781
127	传统	779
128	一位	774
129	之间	767
130	品牌	766
131	桃花	766
132	这是	764
133	社会	764
134	两个	756
135	演绎	750
136	产业	749
137	两人	749
138	历史	749
139	曝光	742
140	选手	740
141	出品	734
142	爱奇艺	733
143	未来	732
144	口碑	729
145	挑战	725
146	全球	724
147	好莱坞	720
148	采访	720
149	精彩	716
150	正式	713
151	改编	709
152	亮相	708
153	引发	705
154	近日	701
155	超级	700
156	播放	695
157	少年	694
158	该片	692
159	网剧	688
160	呈现	687
161	偶像	686
162	有限公司	684
163	参加	680
164	超过	676
165	真的	675
166	影业	675
167	展现	674
168	感觉	670
169	联合	669
170	发布	665
171	主题	665
172	体验	663
173	互联网	659
174	风格	658
175	营销	657
176	担任	652
177	上海	650
178	数据	647
179	推出	645
180	妈妈	635
181	剧组	634
182	兄弟	633
183	亿元	632
184	人生	629
185	提供	628
186	演唱会	627
187	今日	626
188	著名	626
189	演唱	625
190	年度	623
191	投资	622
192	传媒	622
193	突破	620
194	年轻人	617
195	感受	616
196	国家	615
197	原创	606
198	人气	603
199	家庭	601
200	场景	601
201	功夫	600
202	微博	600
203	梦想	595
204	元素	592
205	特工	591
206	回归	590
207	三生	587
208	吸引	586
209	全新	586
210	第一	585
211	少女	582
212	电视	579
213	代表	578
214	努力	576
215	片中	575
216	动画	575
217	众多	574
218	实力	573
219	艺人	572
220	成长	570
221	邀请	570
222	热播	568
223	项目	567
224	形式	566
225	表达	563
226	海报	562
227	令人	562
228	三世	559
229	鲜肉	552
230	充满	551
232	完美	550
231	技术	550
233	朋友	549
234	举办	548
235	记忆	548
236	关系	540
237	机会	540
238	身份	537
239	欢乐	535
240	集团	535
243	优秀	534
241	计划	534
242	声音	534
244	惊喜	533
245	花椒	532
246	第二季	530
247	开播	529
248	第一次	521
249	西游	520
250	分享	520
251	影响	519
252	纷纷	517
253	事情	516
254	传播	514
255	院线	514
256	发行	513
257	城市	512
258	青年	511
259	小时	511
261	两位	510
260	东西	510
262	有人	509
263	创新	508
264	拥有	507
265	小说	505
266	独家	503
267	制片人	502
268	成绩	502
271	女神	494
270	十里	494
269	大片	494
272	情况	493
273	评论	493
274	成龙	491
275	越来越	490
276	精神	489
277	内地	489
278	影评	488
280	十足	485
279	展示	485
281	相关	484
282	宣传	478
283	画面	477
284	观看	476
285	坦言	476
286	背后	474
287	感情	473
288	造型	472
290	原因	467
289	期间	467
291	香港	466
292	发生	463
293	收获	462
294	介绍	462
295	类型	462
296	支持	460
297	名义	459
298	时尚	458
